,match_number,match_team1,match_team2,match_team1_goals,match_team2_goals,match_time,match_nature
0,16077,Slovakia,Netherlands,1,1,31 May 2018,Friendly International
0,16076,Morocco,Ukraine,0,0,31 May 2018,Friendly International
0,16075,Luxembourg,Senegal,0,0,31 May 2018,Friendly International
0,16074,Chile,Romania,2,3,31 May 2018,Friendly International
0,16073,Austria,Russia,1,0,30 May 2018,Friendly International
0,16072,Estonia,Lithuania,2,0,30 May 2018,Baltic Cup 2018
0,16071,Panama,Northern Ireland,0,0,29 May 2018,Friendly International
0,16070,Peru,Scotland,2,0,29 May 2018,Friendly International
0,16069,Albania,Kosovo,0,3,29 May 2018,Friendly International
0,16068,Armenia,Malta,1,1,29 May 2018,Friendly International
0,16067,Azerbaijan,Kyrgyzstan,3,0,29 May 2018,Friendly International
0,16066,Mexico,Wales,0,0,28 May 2018,Friendly International
0,16065,France,Rep. of Ireland,2,0,28 May 2018,Friendly International
0,16064,Saudi Arabia,Italy,1,2,28 May 2018,Friendly International
0,16063,Portugal,Tunisia,2,2,28 May 2018,Friendly International
0,16062,Turkey,Iran,2,1,28 May 2018,Friendly International
0,16061,Bosnia & Herzegovina,Montenegro,0,0,28 May 2018,Friendly International
0,16060,Jordan,Cyprus,3,0,20 May 2018,Friendly International
0,16059,Saudi Arabia,Greece,2,0,15 May 2018,Friendly International
0,16058,Mexico,Croatia,0,1,27 Mar 2018,Friendly International
0,16057,Peru,Iceland,3,1,27 Mar 2018,Friendly International
0,16056,Spain,Argentina,6,1,27 Mar 2018,Friendly International
0,16055,England,Italy,1,1,27 Mar 2018,Friendly International
0,16054,Nigeria,Serbia,0,2,27 Mar 2018,Friendly International
0,16053,Germany,Brazil,0,1,27 Mar 2018,Friendly International
0,16052,Poland,South Korea,3,2,27 Mar 2018,Friendly International
0,16051,Belgium,Saudi Arabia,4,0,27 Mar 2018,Friendly International
0,16050,Luxembourg,Austria,0,4,27 Mar 2018,Friendly International
0,16049,Romania,Sweden,1,0,27 Mar 2018,Friendly International
0,16048,Slovenia,Belarus,0,2,27 Mar 2018,Friendly International
0,16047,Egypt,Greece,0,1,27 Mar 2018,Friendly International
0,16046,Hungary,Scotland,0,1,27 Mar 2018,Friendly International
0,16045,Senegal,Bosnia & Herzegovina,0,0,27 Mar 2018,Friendly International
0,16044, Côte d`Ivoire,Moldova,2,1,27 Mar 2018,Friendly International
0,16043,Denmark,Chile,0,0,27 Mar 2018,Friendly International
0,16042,Montenegro,Turkey,2,2,27 Mar 2018,Friendly International
0,16041,Switzerland,Panama,6,0,27 Mar 2018,Friendly International
0,16040,Azerbaijan,Macedonia,1,1,27 Mar 2018,Friendly International
0,16039,Burkina Faso,Kosovo,0,2,27 Mar 2018,Friendly International
0,16038,Russia,France,1,3,27 Mar 2018,Friendly International
0,16037,Georgia,Estonia,2,0,27 Mar 2018,Friendly International
0,16036,Armenia,Lithuania,0,1,27 Mar 2018,Friendly International
0,16035,Japan,Ukraine,1,2,27 Mar 2018,2018 Kirin Challenge Cup Friendly International
0,16034,Netherlands,Portugal,3,0,26 Mar 2018,Friendly International
0,16033,Albania,Norway,0,1,26 Mar 2018,Friendly International
0,16032,Finland,Malta,5,0,26 Mar 2018,Friendly International
0,16031,Bulgaria,Kazakhstan,2,1,26 Mar 2018,Friendly International
0,16030,Uruguay,Wales,1,0,26 Mar 2018,2018 China Cup
0,16029,China,Czech Republic,1,4,26 Mar 2018,2018 China Cup
0,16028,Faroe Islands,Liechtenstein,3,0,25 Mar 2018,Friendly International
0,16027,Gibraltar,Latvia,1,0,25 Mar 2018,Friendly International
0,16026,Thailand,Slovakia,2,3,25 Mar 2018,King`s Cup 2018
0,16025,Madagascar,Kosovo,0,1,24 Mar 2018,Friendly International
0,16024,Israel,Romania,1,2,24 Mar 2018,Friendly International
0,16023,Sweden,Chile,1,2,24 Mar 2018,Friendly International
0,16022,Georgia,Lithuania,4,0,24 Mar 2018,Friendly International
0,16021,Northern Ireland,South Korea,2,1,24 Mar 2018,Friendly International
0,16020,Armenia,Estonia,0,0,24 Mar 2018,Friendly International
0,16019,Mexico,Iceland,3,0,23 Mar 2018,Friendly International
0,16018,Peru,Croatia,2,0,23 Mar 2018,Friendly International
0,16017,France,Colombia,2,3,23 Mar 2018,Friendly International
0,16016,Netherlands,England,0,1,23 Mar 2018,Friendly International
0,16015,Germany,Spain,1,1,23 Mar 2018,Friendly International
0,16014,Poland,Nigeria,0,1,23 Mar 2018,Friendly International
0,16013,Egypt,Portugal,1,2,23 Mar 2018,Friendly International
0,16012,Austria,Slovenia,3,0,23 Mar 2018,Friendly International
0,16011,Scotland,Costa Rica,0,1,23 Mar 2018,Friendly International
0,16010,Argentina,Italy,2,0,23 Mar 2018,Friendly International
0,16009,Morocco,Serbia,2,1,23 Mar 2018,Friendly International
0,16008,Saudi Arabia,Ukraine,1,1,23 Mar 2018,Friendly International
0,16007,Greece,Switzerland,0,1,23 Mar 2018,Friendly International
0,16006,Hungary,Kazakhstan,2,3,23 Mar 2018,Friendly International
0,16005,Turkey,Rep. of Ireland,1,0,23 Mar 2018,Friendly International
0,16004,Norway,Australia,4,1,23 Mar 2018,Friendly International
0,16003,Bulgaria,Bosnia & Herzegovina,0,1,23 Mar 2018,Friendly International
0,16002,Russia,Brazil,0,3,23 Mar 2018,Friendly International
0,16001,Finland,Macedonia,0,0,23 Mar 2018,Friendly International
0,16000,Cyprus,Montenegro,0,0,23 Mar 2018,Friendly International
0,15999,Azerbaijan,Belarus,0,1,23 Mar 2018,Friendly International
0,15998,Uruguay,Czech Republic,2,0,23 Mar 2018,2018 China Cup
0,15997,Denmark,Panama,1,0,22 Mar 2018,Friendly International
0,15996,Malta,Luxembourg,0,1,22 Mar 2018,Friendly International
0,15995,Faroe Islands,Latvia,1,1,22 Mar 2018,Friendly International
0,15994,China,Wales,0,6,22 Mar 2018,2018 China Cup
0,15993,U.A.E.,Slovakia,1,2,22 Mar 2018,King`s Cup 2018
0,15992,Liechtenstein,Andorra,0,1,21 Mar 2018,Friendly International
0,15991,Saudi Arabia,Moldova,3,0,26 Feb 2018,Friendly International
0,15990,South Korea,Latvia,1,0,03 Feb 2018,Friendly International
0,15989,Mexico,Bosnia & Herzegovina,1,0,31 Jan 2018,Friendly International
0,15988,Azerbaijan,Moldova,0,0,30 Jan 2018,Friendly International
0,15987,United States,Bosnia & Herzegovina,0,0,28 Jan 2018,Friendly International
0,15986,South Korea,Moldova,1,0,27 Jan 2018,Friendly International
0,15985,Indonesia,Iceland,1,4,14 Jan 2018,Friendly International
0,15984,Denmark*,Sweden,0,1,11 Jan 2018,Friendly International
0,15983,Jordan,Finland,1,2,11 Jan 2018,Friendly International
0,15982,Indonesia*,Iceland,0,6,11 Jan 2018,Friendly International
0,15981,Estonia,Sweden,1,1,07 Jan 2018,Friendly International
0,15980,Qatar,Liechtenstein,1,2,14 Dec 2017,Friendly International
0,15979,New Caledonia,Estonia,1,1,26 Nov 2017,Friendly International
0,15978,Vanuatu,Estonia,0,1,23 Nov 2017,Friendly International
0,15977,Fiji,Estonia,0,2,19 Nov 2017,Friendly International
0,15976,Portugal,United States,1,1,14 Nov 2017,Friendly International
0,15975,England,Brazil,0,0,14 Nov 2017,Friendly International
0,15974,Austria,Uruguay,2,1,14 Nov 2017,Friendly International
0,15973,Rep. of Ireland,Denmark,1,5,14 Nov 2017,2018 FIFA World Cup Qualification
0,15972,Belgium,Japan,1,0,14 Nov 2017,Friendly International
