,match_number,match_team1,match_team2,match_team1_goals,match_team2_goals,match_time,match_nature
0,16765,Finland,Rep. of Ireland,1,0,14 Oct 2020,"2020-21 UEFA Nations League, Group B4"
0,16764,Lithuania,Albania,0,0,14 Oct 2020,"2020-21 UEFA Nations League, Group C4"
0,16763,Faroe Islands,Andorra,2,0,13 Oct 2020,"2020-21 UEFA Nations League, Group D1"
0,16762,Liechtenstein,San Marino,0,0,13 Oct 2020,"2020-21 UEFA Nations League, Group D2"
0,16761,Montenegro,Luxembourg,1,2,13 Oct 2020,"2020-21 UEFA Nations League, Group C1"
0,16760,Germany,Switzerland,3,3,13 Oct 2020,"2020-21 UEFA Nations League, Group A4"
0,16759,Ukraine,Spain,1,0,13 Oct 2020,"2020-21 UEFA Nations League, Group A4"
0,16758,Latvia,Malta,0,1,13 Oct 2020,"2020-21 UEFA Nations League, Group D1"
0,16757,Azerbaijan,Cyprus,0,0,13 Oct 2020,"2020-21 UEFA Nations League, Group C1"
0,16756,Poland,Italy,0,0,11 Oct 2020,"2020-21 UEFA Nations League, Group A1"
0,16755,Northern Ireland,Austria,0,1,11 Oct 2020,"2020-21 UEFA Nations League, Group B1"
0,16754,Israel,Czech Republic,1,2,11 Oct 2020,"2020-21 UEFA Nations League, Group B2"
0,16753,Scotland,Slovakia,1,0,11 Oct 2020,"2020-21 UEFA Nations League, Group B2"
0,16752,Iceland,Denmark,0,3,11 Oct 2020,"2020-21 UEFA Nations League, Group A2"
0,16751,France,Portugal,0,0,11 Oct 2020,"2020-21 UEFA Nations League, Group A3"
0,16750,Russia,Turkey,1,1,11 Oct 2020,"2020-21 UEFA Nations League, Group B3"
0,16749,Serbia,Hungary,0,1,11 Oct 2020,"2020-21 UEFA Nations League, Group B3"
0,16748,Greece,Moldova,2,0,11 Oct 2020,"2020-21 UEFA Nations League, Group C3"
0,16747,Kosovo,Slovenia,0,1,11 Oct 2020,"2020-21 UEFA Nations League, Group C3"
0,16746,Armenia,Georgia,2,2,11 Oct 2020,"2020-21 UEFA Nations League, Group C2"
0,16745,Bosnia & Herzegovina,Netherlands,0,0,11 Oct 2020,"2020-21 UEFA Nations League, Group A1"
0,16744,Norway,Romania,4,0,11 Oct 2020,"2020-21 UEFA Nations League, Group B1"
0,16743,Estonia,North Macedonia,3,3,11 Oct 2020,"2020-21 UEFA Nations League, Group C2"
0,16742,England,Belgium,2,1,11 Oct 2020,"2020-21 UEFA Nations League, Group A2"
0,16741,Croatia,Sweden,2,1,11 Oct 2020,"2020-21 UEFA Nations League, Group A3"
0,16740,Finland,Bulgaria,2,0,11 Oct 2020,"2020-21 UEFA Nations League, Group B4"
0,16739,Lithuania,Belarus,2,2,11 Oct 2020,"2020-21 UEFA Nations League, Group C4"
0,16738,Rep. of Ireland,Wales,0,0,11 Oct 2020,"2020-21 UEFA Nations League, Group B4"
0,16737,Kazakhstan,Albania,0,0,11 Oct 2020,"2020-21 UEFA Nations League, Group C4"
0,16736,Andorra,Malta,0,0,10 Oct 2020,"2020-21 UEFA Nations League, Group D1"
0,16735,Spain,Switzerland,1,0,10 Oct 2020,"2020-21 UEFA Nations League, Group A4"
0,16734,Ukraine,Germany,1,2,10 Oct 2020,"2020-21 UEFA Nations League, Group A4"
0,16733,Faroe Islands,Latvia,1,1,10 Oct 2020,"2020-21 UEFA Nations League, Group D1"
0,16732,Liechtenstein,Gibraltar,0,1,10 Oct 2020,"2020-21 UEFA Nations League, Group D2"
0,16731,Luxembourg,Cyprus,2,0,10 Oct 2020,"2020-21 UEFA Nations League, Group C1"
0,16730,Montenegro,Azerbaijan,2,0,10 Oct 2020,"2020-21 UEFA Nations League, Group C1"
0,16729,England,Wales,3,0,08 Oct 2020,Friendly International
0,16728,North Macedonia,Kosovo,2,1,08 Oct 2020,UEFA Euro 2020 Qualifying
0,16727,Bulgaria,Hungary,1,3,08 Oct 2020,UEFA Euro 2020 Qualifying
0,16726,Iceland,Romania,2,1,08 Oct 2020,UEFA Euro 2020 Qualifying
0,16725,Belgium, Côte d`Ivoire,1,1,08 Oct 2020,Friendly International
0,16724,Norway,Serbia,1,2,08 Oct 2020,UEFA Euro 2020 Qualifying
0,16723,Bosnia & Herzegovina,Northern Ireland,1,1,08 Oct 2020,UEFA Euro 2020 Qualifying
0,16722,Slovakia,Rep. of Ireland,0,0,08 Oct 2020,UEFA Euro 2020 Qualifying
0,16721,Scotland,Israel,0,0,08 Oct 2020,UEFA Euro 2020 Qualifying
0,16720,Russia,Sweden,1,2,08 Oct 2020,Friendly International
0,16719,Georgia,Belarus,1,0,08 Oct 2020,UEFA Euro 2020 Qualifying
0,16718,France,Ukraine,7,1,07 Oct 2020,Friendly International
0,16717,Italy,Moldova,6,0,07 Oct 2020,Friendly International
0,16716,Switzerland,Croatia,1,2,07 Oct 2020,Friendly International
0,16715,Andorra,Cape Verde,1,2,07 Oct 2020,Friendly International
0,16714,Portugal,Spain,0,0,07 Oct 2020,Friendly International
0,16713,Germany,Turkey,3,3,07 Oct 2020,Friendly International
0,16712,Netherlands,Mexico,0,1,07 Oct 2020,Friendly International
0,16711,Slovenia,San Marino,4,0,07 Oct 2020,Friendly International
0,16710,Poland,Finland,5,1,07 Oct 2020,Friendly International
0,16709,Austria,Greece,2,1,07 Oct 2020,Friendly International
0,16708,Luxembourg,Liechtenstein,1,2,07 Oct 2020,Friendly International
0,16707,Cyprus,Czech Republic,1,2,07 Oct 2020,Friendly International
0,16706,Denmark,Faroe Islands,4,0,07 Oct 2020,Friendly International
0,16705,Malta,Gibraltar,2,0,07 Oct 2020,Friendly International
0,16704,Montenegro,Latvia,1,1,07 Oct 2020,Friendly International
0,16703,Estonia,Lithuania,1,3,07 Oct 2020,Friendly International
0,16702,Belgium,Iceland,5,1,08 Sep 2020,"2020-21 UEFA Nations League, Group A2"
0,16701,Denmark,England,0,0,08 Sep 2020,"2020-21 UEFA Nations League, Group A2"
0,16700,France,Croatia,4,2,08 Sep 2020,"2020-21 UEFA Nations League, Group A3"
0,16699,Sweden,Portugal,0,2,08 Sep 2020,"2020-21 UEFA Nations League, Group A3"
0,16698,Cyprus,Azerbaijan,0,1,08 Sep 2020,"2020-21 UEFA Nations League, Group C1"
0,16697,Luxembourg,Montenegro,0,1,08 Sep 2020,"2020-21 UEFA Nations League, Group C1"
0,16696,San Marino,Liechtenstein,0,2,08 Sep 2020,"2020-21 UEFA Nations League, Group D2"
0,16695,Armenia,Estonia,2,0,08 Sep 2020,"2020-21 UEFA Nations League, Group C2"
0,16694,Georgia,North Macedonia,1,1,08 Sep 2020,"2020-21 UEFA Nations League, Group C2"
0,16693,Bosnia & Herzegovina,Poland,1,2,07 Sep 2020,"2020-21 UEFA Nations League, Group A1"
0,16692,Netherlands,Italy,0,1,07 Sep 2020,"2020-21 UEFA Nations League, Group A1"
0,16691,Austria,Romania,2,3,07 Sep 2020,"2020-21 UEFA Nations League, Group B1"
0,16690,Northern Ireland,Norway,1,5,07 Sep 2020,"2020-21 UEFA Nations League, Group B1"
0,16689,Czech Republic,Scotland,1,2,07 Sep 2020,"2020-21 UEFA Nations League, Group B2"
0,16688,Israel,Slovakia,1,1,07 Sep 2020,"2020-21 UEFA Nations League, Group B2"
